"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT03340727","Moderately Preterm Infants With Caffeine at Home for Apnea (MoCHA) Trial","MoCHA","Recruiting","No Results Available","Apnea of Prematurity","Drug: Caffeine Citrate|Drug: Placebo","Number of days of hospitalization|The number of days to physiologic maturity after randomization|PMA at discharge|The number of all-cause hospital re-admissions|The number of all-cause sick visits|Death|Weight|Elevated Heart Rate|High Blood Pressure|Periods of NPO|Reflux|Significant Apnea|Significant Bradycardia|Arrhythmia|Seizures","NICHD Neonatal Research Network|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","29 Weeks to 33 Weeks   (Child)","Phase 3","1200","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","NICHD-NRN-0056|UG1HD034216|UG1HD027904|UG1HD021364|UG1HD027853|UG1HD040689|UG1HD040492|UG1HD027851|UG1HD087229|UG1HD053109|UG1HD068278|UG1HD068244|UG1HD068263|UG1HD027880|UG1HD053089|UG1HD087226|U10HD036790","February 27, 2019","October 2022","October 2022","November 13, 2017","null","March 11, 2019","University of Alabama at Birmingham, Birmingham, Alabama, United States|Stanford University, Palo Alto, California, United States|Emory University, Atlanta, Georgia, United States|University of Iowa, Iowa City, Iowa, United States|University of New Mexico, Albuquerque, New Mexico, United States|University of Rochester, Rochester, New York, United States|RTI International, Durham, North Carolina, United States|Duke University, Durham, North Carolina, United States|Cincinnati Children's Medical Center, Cincinnati, Ohio, United States|Case Western Reserve University, Rainbow Babies and Children's Hospital, Cleveland, Ohio, United States|Research Institute at Nationwide Children's Hospital, Columbus, Ohio, United States|Univeristy of Pennsylvania, Philadelphia, Pennsylvania, United States|Brown University, Women & Infants Hospital of Rhode Island, Providence, Rhode Island, United States|University of Texas Southwestern Medical Center at Dallas, Dallas, Texas, United States|University of Texas Health Science Center at Houston, Houston, Texas, United States|University of Utah, Salt Lake City, Utah, United States","","https://ClinicalTrials.gov/show/NCT03340727"
2,"NCT02951130","Milrinone in Congenital Diaphragmatic Hernia",,"Recruiting","No Results Available","Congenital Diaphragmatic Hernia|Persistent Pulmonary Hypertension of the Newborn|Hypoxemic Respiratory Failure|Pulmonary Hypoplasia","Drug: Milrinone|Drug: Placebo (5% Dextrose)","Oxygenation Response|Oxygenation Response at 48 and 72 h|Changes in estimated systolic pulmonary arterial pressure on echocardiogram|Vasoactive Inotrope Score and Systemic Blood Pressure|Area Under the Curve for Inspired Oxygen|Oxygenation Response to Additional Inotropes or Pulmonary Vasodilators|Supplemental Continuous Oxygen|Survival to discharge without ECMO|Clinical status (Pulmonary and Nutritional)|Feasibility and sample size calculation to Perform a Definitive Trial (primary outcome - improvement in survival without ECMO|Feasibility to perform a definitive trial (incidence of systemic hypotension)|Feasibility to perform a definitive trial (incidence of intracranial bleeding)|Feasibility to perform a definitive trial (incidence of arrhythmias)|Adjusted Oxygen Response","NICHD Neonatal Research Network|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","up to 168 Hours   (Child)","Phase 2","66","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","NICHD-NRN-0057|UG1HD034216|UG1HD027904|UG1HD021364|UG1HD027853|UG1HD040689|UG1HD040492|UG1HD027851|UG1HD087229|UG1HD053109|UG1HD068278|UG1HD068244|UG1HD068263|UG1HD027880|UG1HD053089|UG1HD087226|U10HD036790","August 22, 2017","February 2020","February 2021","November 1, 2016","null","March 11, 2019","University of Alabama at Birmingham, Birmingham, Alabama, United States|Stanford University, Palo Alto, California, United States|Emory University, Atlanta, Georgia, United States|University of Iowa, Iowa City, Iowa, United States|University of New Mexico, Albuquerque, New Mexico, United States|University of Rochester, Rochester, New York, United States|RTI International, Durham, North Carolina, United States|Duke University, Durham, North Carolina, United States|Cincinnati Children's Medical Center, Cincinnati, Ohio, United States|Case Western Reserve University, Rainbow Babies and Children's Hospital, Cleveland, Ohio, United States|Research Institute at Nationwide Children's Hospital, Columbus, Ohio, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|Brown University, Women & Infants Hospital of Rhode Island, Providence, Rhode Island, United States|University of Texas Southwestern Medical Center at Dallas, Dallas, Texas, United States|University of Texas Health Science Center at Houston, Houston, Texas, United States|University of Utah, Salt Lake City, Utah, United States","","https://ClinicalTrials.gov/show/NCT02951130"
3,"NCT02160002","Incubator Weaning of Moderately Preterm Infants",,"Completed","Has Results","Infant, Newborn|Infant, Moderate Preterm","Procedure: Weaning from an incubator at a lower weight (1600 grams)|Procedure: Weaning from an incubator at a higher weight (1800 grams)","Length of Hospital Stay (LOS) From Birth to Discharge (up to 120 Days)|Length of Stay (LOS) Following Weaning From Incubator to Crib to Hospital Discharge (up to 120 Days)|Failure Rate of Weaning to Crib (Number of Infants With Axillary Temperature < 36.3°C After 2 Weaning Attempts)|Growth Velocity (Weight in Grams/kg/Day) From Start of Weaning From Incubator (Following Random Assignment) to 36 Weeks Postmenstrual Age (PMA)|Growth Parameters: Weight at Status|Growth Parameters: Length at Status|Growth Parameters: Head Circumference at Status|Postmenstrual Age (PMA) at Discharge|Readmission to the Hospital Within 1 Week of Discharge|Death Among Enrolled Infants|Transferred to a Non-Network Hospital|Length of Stay (LOS) Following Randomization to Hospital Discharge","NICHD Neonatal Research Network|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","29 Weeks to 34 Weeks   (Child)","Not Applicable","366","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NICHD-NRN-0054","February 2015","July 2016","June 2017","June 10, 2014","December 21, 2017","March 22, 2019","University of Alabama at Birmingham, Birmingham, Alabama, United States|University of California - Los Angeles, Los Angeles, California, United States|Stanford University, Palo Alto, California, United States|Emory University, Atlanta, Georgia, United States|Indiana University, Indianapolis, Indiana, United States|University of Iowa, Iowa City, Iowa, United States|Wayne State University, Detroit, Michigan, United States|Children's Mercy Hospital, Kansas City, Missouri, United States|University of New Mexico, Albuquerque, New Mexico, United States|University of Rochester, Rochester, New York, United States|RTI International, Durham, North Carolina, United States|Duke University, Durham, North Carolina, United States|Cincinnati Children's Medical Center, Cincinnati, Ohio, United States|Case Western Reserve University, Cleveland, Ohio, United States|Research Institute at Nationwide Children's Hospital, Columbus, Ohio, United States|Univeristy of Pennsylvania, Philadelphia, Pennsylvania, United States|Brown University, Women & Infants Hospital of Rhode Island, Providence, Rhode Island, United States|University of Texas Southwestern Medical Center at Dallas, Dallas, Texas, United States","","https://ClinicalTrials.gov/show/NCT02160002"
4,"NCT01793129","Preemie Hypothermia for Neonatal Encephalopathy",,"Recruiting","No Results Available","Infant, Newborn|Hypoxia, Brain|Hypoxia-Ischemia, Brain|Encephalopathy, Hypoxic-Ischemic|Hypoxic-Ischemic Encephalopathy|Ischemic-Hypoxic Encephalopathy","Device: Hypothermia|Procedure: Normothermic Control","Death or moderate or severe disability|Number of deaths in the NICU and following discharge|Differences in MRI findings after cessation of cooling/control obtained|Number of infants with moderate and severe disability|Causes of Death|Neurological injury by cranial ultrasound within 24 hours of enrollment","NICHD Neonatal Research Network|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","33 Weeks to 35 Weeks   (Child)","Phase 2|Phase 3","168","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NICHD-NRN-0051|U10HD021364|U10HD040689|U10HD021385|U10HD027851|U10HD027853|U10HD027856|U10HD027904|U10HD027880|U10HD034216|U10HD021373|U10HD040492|U10HD053109|U10HD040461|U10HD068244|U10HD068263|U10HD068270|U10HD068278|U10HD068284|U10HD036790|UG1HD087226","May 2015","August 2020","October 2022","February 15, 2013","null","March 11, 2019","University of Alabama at Birmingham, Birmingham, Alabama, United States|Stanford University, Palo Alto, California, United States|Emory University, Atlanta, Georgia, United States|Indiana University, Indianapolis, Indiana, United States|University of Iowa, Iowa City, Iowa, United States|Wayne State University, Detroit, Michigan, United States|University of New Mexico, Albuquerque, New Mexico, United States|University of Rochester, Rochester, New York, United States|RTI International, Durham, North Carolina, United States|Duke University, Durham, North Carolina, United States|Cincinnati Children's Medical Center, Cincinnati, Ohio, United States|Case Western Reserve University, Rainbow Babies and Children's Hospital, Cleveland, Ohio, United States|Research Institute at Nationwide Children's Hospital, Columbus, Ohio, United States|Univeristy of Pennsylvania, Philadelphia, Pennsylvania, United States|Brown University, Women & Infants Hospital of Rhode Island, Providence, Rhode Island, United States|University of Texas Southwestern Medical Center at Dallas, Dallas, Texas, United States|University of Texas Health Science Center at Houston, Houston, Texas, United States|University of Utah, Salt Lake City, Utah, United States","","https://ClinicalTrials.gov/show/NCT01793129"
5,"NCT01793116","Generic Database of Moderate Preterm Infants",,"Completed","No Results Available","Infant, Newborn|Infant, Moderate Preterm","","Number of infants born moderately preterm","NICHD Neonatal Research Network|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","29 Weeks to 33 Weeks   (Child)","","7057","Other|NIH","Observational","Observational Model: Cohort|Time Perspective: Prospective","NICHD-NRN-0049|U10HD021364|U10HD040689|U10HD021385|U10HD027851|U10HD027853|U10HD027856|U10HD027904|U10HD027880|U10HD034216|U10HD021373|U10HD040492|U10HD053109|U10HD040461|U10HD068244|U10HD068263|U10HD068270|U10HD068278|U10HD068284|U10HD036790","March 2012","October 2013","February 2014","February 15, 2013","null","March 22, 2019","University of Alabama at Birmingham, Birmingham, Alabama, United States|University of California - Los Angeles, Los Angeles, California, United States|Stanford University, Palo Alto, California, United States|Emory University, Atlanta, Georgia, United States|Indiana University, Indianapolis, Indiana, United States|University of Iowa, Iowa City, Iowa, United States|Wayne State University, Detroit, Michigan, United States|Children's Mercy Hospital, Kansas City, Missouri, United States|University of New Mexico, Albuquerque, New Mexico, United States|University of Rochester, Rochester, New York, United States|RTI International, Durham, North Carolina, United States|Duke University, Durham, North Carolina, United States|Cincinnati Children's Medical Center, Cincinnati, Ohio, United States|Case Western Reserve University, Rainbow Babies and Children's Hospital, Cleveland, Ohio, United States|Research Institute at Nationwide Children's Hospital, Columbus, Ohio, United States|Univeristy of Pennsylvania, Philadelphia, Pennsylvania, United States|Brown University, Women & Infants Hospital of Rhode Island, Providence, Rhode Island, United States|University of Texas Southwestern Medical Center at Dallas, Dallas, Texas, United States|University of Texas Health Science Center at Houston, Houston, Texas, United States","","https://ClinicalTrials.gov/show/NCT01793116"
6,"NCT01534481","Donor Milk vs. Formula in Extremely Low Birth Weight (ELBW) Infants",,"Recruiting","No Results Available","Infant, Newborn|Infant, Small for Gestational Age|Infant, Extremely Low Birth Weight","Biological: Donor Milk|Dietary Supplement: Preterm Formula","Neurodevelopmental Outcome|In Hospital Morbidities|Growth outcomes|Follow-up Outcomes","NICHD Neonatal Research Network|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","up to 21 Days   (Child)","Phase 3","670","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","NICHD-NRN-0047|U10HD021364|U10HD040689|U10HD021385|U10HD027851|U10HD027853|U10HD027856|U10HD027904|U10HD027880|U10HD034216|U10HD021373|U10HD040492|U10HD053109|U10HD040461|U10HD068244|U10HD068263|U10HD068278|U10HD068284|U10HD036790","August 2012","June 2019","June 2020","February 16, 2012","null","March 11, 2019","University of Alabama at Birmingham, Birmingham, Alabama, United States|Stanford University, Palo Alto, California, United States|Emory University, Atlanta, Georgia, United States|Indiana University, Indianapolis, Indiana, United States|University of Iowa, Iowa City, Iowa, United States|Wayne State University, Detroit, Michigan, United States|Children's Mercy Hospital, Kansas City, Missouri, United States|University of New Mexico, Albuquerque, New Mexico, United States|University of Rochester, Rochester, New York, United States|RTI International, Durham, North Carolina, United States|Duke University, Durham, North Carolina, United States|Case Western Reserve University, Rainbow Babies and Children's Hospital, Cleveland, Ohio, United States|Research Institute at Nationwide Children's Hospital, Columbus, Ohio, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|Brown University, Women & Infants Hospital of Rhode Island, Providence, Rhode Island, United States|University of Texas Southwestern Medical Center at Dallas, Dallas, Texas, United States|University of Texas Health Science Center at Houston, Houston, Texas, United States","","https://ClinicalTrials.gov/show/NCT01534481"
7,"NCT00598429","Inhaled PGE1 in Neonatal Hypoxemic Respiratory Failure","IPGE1","Withdrawn","No Results Available","Infant, Newborn|Respiratory Insufficiency|Pulmonary Hypertension|Respiratory Distress Syndrome, Newborn|Streptococcal Infections","Drug: Inhaled Prostaglandin E1","The ability to recruit an adequate number of patients (n = 50) in a 6-9 month period without excessive (>20%) protocol violations.|Progression to an OI greater than 25|Improvement in partial pressure of oxygen (PaO2) in the blood gas|Change in OI|Death|Need for inhaled nitric oxide or ECMO|Length of hospitalization|Duration of mechanical ventilation|Number of days of oxygen used and need for supplemental oxygen at 28 days of life|Occurrence of grade III-IV intracranial hemorrhage and cystic leukomalacia","NICHD Neonatal Research Network|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","up to 7 Days   (Child)","Phase 2","0","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","NICHD-NRN-0037|U10HD036790|U10HD021364|U10HD021385|U10HD027880|U10HD034216|U10HD040492|U10HD040689|U10HD053089|U10HD053109|U10HD053119|U10HD053124","May 2008","September 2008","September 2008","January 21, 2008","null","March 22, 2019","University of Alabama at Birmingham, Birmingham, Alabama, United States|Stanford University, Palo Alto, California, United States|University of Iowa, Iowa City, Iowa, United States|Tufts Medical Center, Boston, Massachusetts, United States|Wayne State University, Detroit, Michigan, United States|University of New Mexico, Albuquerque, New Mexico, United States|RTI International, Durham, North Carolina, United States|Duke University, Durham, North Carolina, United States|Case Western Reserve University, Rainbow Babies and Children's Hospital, Cleveland, Ohio, United States|University of Texas Southwestern Medical Center at Dallas, Dallas, Texas, United States|University of Utah, Salt Lake City, Utah, United States","","https://ClinicalTrials.gov/show/NCT00598429"
8,"NCT02410486","Early-Onset Sepsis an NICHD/CDC Surveillance Study","EOSII","Completed","No Results Available","Infant, Newborn, Diseases|Early Onset Neonatal Sepsis|Early-Onset Meningitis","","To determine current hospital-based rates of early-onset neonatal infection|To determine the antimicrobial susceptibility patterns of organisms associated with EOS and EOM|To identify risk factors associated with EOS/EOM due to Gram-negative pathogens (case control comparison)|To determine the clinical signs/symptoms and laboratory abnormalities associated with EOS/EOM|To identify risk factors for EOS/EOM in infants born to mothers with chorioamnionitis (case control comparison)|To determine if term infants with EOS, identified because of maternal chorioamnionitis, can be asymptomatic at birth|To determine sepsis-associated mortality rates (total, GA-specific and BW-specific, pathogen-specific) for infants with EOS/EOM|To review changes over time in overall rates of EOS and EOM, pathogens associated with infection, risk factors for infection, clinical and laboratory abnormalities, and sepsis-associated mortality","NICHD Neonatal Research Network|Centers for Disease Control and Prevention|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","up to 72 Hours   (Child)","","570","Other|U.S. Fed|NIH","Observational","Observational Model: Cohort|Time Perspective: Prospective","NICHD-NRN-0055|UG1HD034216|UG1HD027904|UG1HD021364|UG1HD027853|UG1HD040689|UG1HD040492|UG1HD027851|UG1HD087229|UG1HD027856|UG1HD053109|UG1HD068284|UG1HD068278|UG1HD068244|UG1HD068263|UG1HD027880|UG1HD068270|UG1HD053089|UG1HD087226|U10HD036790","April 2015","December 2017","December 2017","April 7, 2015","null","March 11, 2019","University of Alabama at Birmingham, Birmingham, Alabama, United States|University of California - Los Angeles, Los Angeles, California, United States|Stanford University, Palo Alto, California, United States|Emory University, Atlanta, Georgia, United States|Indiana University, Indianapolis, Indiana, United States|University of Iowa, Iowa City, Iowa, United States|Wayne State University, Detroit, Michigan, United States|Children's Mercy Hospital, Kansas City, Missouri, United States|University of New Mexico, Albuquerque, New Mexico, United States|University of Rochester, Rochester, New York, United States|RTI International, Durham, North Carolina, United States|Duke University, Durham, North Carolina, United States|Cincinnati Children's Medical Center, Cincinnati, Ohio, United States|Case Western Reserve University, Cleveland, Ohio, United States|Research Institute at Nationwide Children's Hospital, Columbus, Ohio, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|Brown University, Women & Infants Hospital of Rhode Island, Providence, Rhode Island, United States|University of Texas Southwestern Medical Center at Dallas, Dallas, Texas, United States|University of Texas Health Science Center at Houston, Houston, Texas, United States|University of Utah, Salt Lake City, Utah, United States","","https://ClinicalTrials.gov/show/NCT02410486"
9,"NCT01954082","Inositol to Reduce Retinopathy of Prematurity","INS-3","Terminated","Has Results","Retinopathy of Prematurity (ROP)","Drug: myo-Inositol 5% Injection|Drug: Placebo","Number of Participants With Unfavorable Outcome, Defined as Severe Retinopathy of Prematurity (ROP) or Death Prior to Reaching Acute/Final ROP Status|Number of Participants With Bronchopulmonary Dysplasia (BPD)|Number of Participants With Bronchopulmonary Dysplasia (BPD) or Death From BPD|Number of Participants With All Cause Death Before Retinopathy of Prematurity (ROP) Endpoint|Number of Participants With Any Retinopathy of Prematurity (ROP)|Number of Participants With Type 2 or More Severe Retinopathy of Prematurity (ROP)|Number of Participants With Severe Intraventricular Hemorrhage (IVH)","NICHD Neonatal Research Network|National Eye Institute (NEI)|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","up to 72 Hours   (Child)","Phase 3","638","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","NICHD-NRN-0053|U10HD021364|U10HD040689|U10HD021385|U10HD027851|U10HD027853|U10HD027856|U10HD027904|U10HD027880|U10HD034216|U10HD021373|U10HD040492|U10HD053109|U10HD053089|U10HD068244|U10HD068263|U10HD068270|U10HD068278|U10HD068284|U10HD036790","April 17, 2014","December 31, 2016","December 31, 2016","October 1, 2013","September 26, 2018","March 22, 2019","University of Alabama at Birmingham, Birmingham, Alabama, United States|University of California - Los Angeles, Los Angeles, California, United States|Stanford University, Palo Alto, California, United States|Emory University, Atlanta, Georgia, United States|Indiana University, Indianapolis, Indiana, United States|University of Iowa, Iowa City, Iowa, United States|Wayne State University, Detroit, Michigan, United States|Children's Mercy Hospital, Kansas City, Missouri, United States|University of New Mexico, Albuquerque, New Mexico, United States|University of Rochester, Rochester, New York, United States|RTI International, Durham, North Carolina, United States|Duke University, Durham, North Carolina, United States|Cincinnati Children's Medical Center, Cincinnati, Ohio, United States|Case Western Reserve University, Rainbow Babies and Children's Hospital, Cleveland, Ohio, United States|Research Institute at Nationwide Children's Hospital, Columbus, Ohio, United States|Univeristy of Pennsylvania, Philadelphia, Pennsylvania, United States|Brown University, Women & Infants Hospital of Rhode Island, Providence, Rhode Island, United States|University of Texas Southwestern Medical Center at Dallas, Dallas, Texas, United States|University of Texas Health Science Center at Houston, Houston, Texas, United States","","https://ClinicalTrials.gov/show/NCT01954082"
10,"NCT01702805","Transfusion of Prematures Trial","TOP","Active, not recruiting","No Results Available","Infant, Newborn, Diseases|Infant, Extremely Low Birth Weight|Infant, Small for Gestational Age|Bronchopulmonary Dysplasia (BPD)|Anemia","Procedure: Liberal Cell Transfusion|Procedure: Restricted red cell transfusion","Death or significant neurodevelopmental impairment|Grade 3 or 4 IVH, cystic PVL, or ventriculomegaly|Moderate or severe cerebral palsy|Episodes of necrotizing enterocolitis|Time to full feeds|Length of hospital stay|Number of transfusions|Age at final tracheal extubation|Age at final caffeine dose|Growth|Survival to discharge without severe morbidity|Respiratory disease|Hydrocephalus shunt, microcephaly, or seizure disorder|Economic cost-benefit analysis","NICHD Neonatal Research Network|National Heart, Lung, and Blood Institute (NHLBI)|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","up to 48 Hours   (Child)","Phase 3","1824","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","NICHD-NRN-0050|U01HL112776|U01HL112748","December 2012","October 2019","December 2019","October 8, 2012","null","March 11, 2019","University of Alabama at Birmingham, Birmingham, Alabama, United States|University of California - Los Angeles, Los Angeles, California, United States|Stanford University, Palo Alto, California, United States|Emory University, Atlanta, Georgia, United States|Indiana University, Indianapolis, Indiana, United States|University of Iowa, Iowa City, Iowa, United States|Wayne State University, Detroit, Michigan, United States|Children's Mercy Hospital, Kansas City, Missouri, United States|University of New Mexico, Albuquerque, New Mexico, United States|University of Rochester, Rochester, New York, United States|RTI International, Durham, North Carolina, United States|Duke University, Durham, North Carolina, United States|Cincinnati Children's Medical Center, Cincinnati, Ohio, United States|Case Western Reserve University, Rainbow Babies and Children's Hospital, Cleveland, Ohio, United States|Research Institute at Nationwide Children's Hospital, Columbus, Ohio, United States|Univeristy of Pennsylvania, Philadelphia, Pennsylvania, United States|Brown University, Women & Infants Hospital of Rhode Island, Providence, Rhode Island, United States|University of Texas Southwestern Medical Center at Dallas, Dallas, Texas, United States|University of Texas Health Science Center at Houston, Houston, Texas, United States|University of Utah, Salt Lake City, Utah, United States","","https://ClinicalTrials.gov/show/NCT01702805"
